1 4969.4701765463515
2 4775.592598760831
3 4558.809727816859
4 4319.626826451355
5 4030.616591363722
6 3829.0500883215063
7 3553.861328826131
8 3877.9445240504256
9 3765.1662133142913
10 3733.82114869044
11 3816.490766359918
12 3266.6974670409154
13 4127.626972396274
14 4936.154245970197
15 4623.550478069034
16 4898.782980612028
17 5125.364646989345
18 5443.111265679537
19 5099.865120973775
20 5805.712192028951
21 5855.521802999152
22 5777.046812240981
23 5812.88072420673
24 6142.272510996824
25 6019.296093881099
26 6171.402723013505
27 6322.83482145269
28 6197.981186858163
29 5912.4274123528685
30 6044.589350465722
31 6369.728284375078
32 6492.706325169916
