1 356.9043301167702
2 278.0369600701206
3 220.65764241261135
4 183.9955541415587
5 161.3959784016124
6 140.74262520333156
7 124.57946683946894
8 109.95001311571664
9 98.87760988717736
10 89.47603200555429
11 81.41219629069982
12 71.80394490309492
13 65.18810196976088
14 61.45357870402081
15 55.065288032226576
16 52.93459331030528
17 51.81942032348523
18 46.5499578320957
19 43.95035805415592
20 39.76021145666673
21 51.07909677637198
22 38.18846627392122
23 47.991050985120225
24 36.829379076054956
25 37.09248412731223
26 35.14052291223413
27 35.453849816455794
28 33.21962066596386
29 72.99972907697368
30 32.99204842756525
31 39.59255987389876
